날짜,제품명,판매량,매출,지역
2024-01-01,노트북,15,15000000,서울
2024-01-02,마우스,45,450000,서울
2024-01-03,키보드,30,2400000,부산
2024-01-04,모니터,12,3600000,서울
2024-01-05,노트북,20,20000000,인천
2024-01-06,마우스,50,500000,부산
2024-01-07,키보드,25,2000000,대구
2024-01-08,모니터,18,5400000,서울
2024-01-09,노트북,10,10000000,부산
2024-01-10,마우스,60,600000,인천
2024-01-11,키보드,35,2800000,서울
2024-01-12,모니터,22,6600000,부산
2024-01-13,노트북,18,18000000,대구
2024-01-14,마우스,40,400000,서울
2024-01-15,키보드,28,2240000,인천
2024-01-16,모니터,15,4500000,서울
2024-01-17,노트북,25,25000000,부산
2024-01-18,마우스,55,550000,대구
2024-01-19,키보드,32,2560000,서울
2024-01-20,모니터,20,6000000,인천

